city,state,state-code,zipcode,latitude,longitude,city-slug
Denver,Colorado,CO,80202,39.7392,-104.9903,denver
Colorado Springs,Colorado,CO,80903,38.8339,-104.8214,colorado-springs
Aurora,Colorado,CO,80012,39.7294,-104.8319,aurora
Fort Collins,Colorado,CO,80521,40.5853,-105.0844,fort-collins
Lakewood,Colorado,CO,80226,39.7047,-105.0814,lakewood
Thornton,Colorado,CO,80229,39.8680,-104.9719,thornton
Arvada,Colorado,CO,80003,39.8028,-105.0875,arvada
Westminster,Colorado,CO,80031,39.8367,-105.0372,westminster
Pueblo,Colorado,CO,81003,38.2544,-104.6091,pueblo
Centennial,Colorado,CO,80112,39.5807,-104.8772,centennial
Boulder,Colorado,CO,80302,40.0150,-105.2705,boulder
Greeley,Colorado,CO,80631,40.4233,-104.7091,greeley
Longmont,Colorado,CO,80501,40.1672,-105.1019,longmont
Loveland,Colorado,CO,80537,40.3978,-105.0750,loveland
Broomfield,Colorado,CO,80020,39.9205,-105.0867,broomfield
Grand Junction,Colorado,CO,81501,39.0639,-108.5506,grand-junction
Castle Rock,Colorado,CO,80104,39.3722,-104.8561,castle-rock
Commerce City,Colorado,CO,80022,39.8083,-104.9342,commerce-city
Parker,Colorado,CO,80134,39.5186,-104.7614,parker
Littleton,Colorado,CO,80120,39.6133,-105.0166,littleton
Northglenn,Colorado,CO,80233,39.8856,-104.9811,northglenn
Brighton,Colorado,CO,80601,39.9853,-104.8205,brighton
Englewood,Colorado,CO,80110,39.6478,-104.9878,englewood
Wheat Ridge,Colorado,CO,80033,39.7661,-105.0772,wheat-ridge
Fountain,Colorado,CO,80817,38.6822,-104.7008,fountain
Lafayette,Colorado,CO,80026,39.9936,-105.0897,lafayette
Windsor,Colorado,CO,80550,40.4775,-104.9014,windsor
Erie,Colorado,CO,80516,40.0503,-105.0500,erie
Golden,Colorado,CO,80401,39.7555,-105.2211,golden
Louisville,Colorado,CO,80027,39.9778,-105.1319,louisville
Montrose,Colorado,CO,81401,38.4783,-107.8762,montrose
Durango,Colorado,CO,81301,37.2753,-107.8801,durango
Canon City,Colorado,CO,81212,38.4409,-105.2424,canon-city
Greenwood Village,Colorado,CO,80111,39.6172,-104.9508,greenwood-village
Sterling,Colorado,CO,80751,40.6255,-103.2077,sterling
Lone Tree,Colorado,CO,80124,39.5519,-104.8861,lone-tree
Johnstown,Colorado,CO,80534,40.3367,-104.9119,johnstown
Evans,Colorado,CO,80620,40.3769,-104.6919,evans
Firestone,Colorado,CO,80504,40.1108,-104.9369,firestone
Fort Morgan,Colorado,CO,80701,40.2503,-103.7999,fort-morgan
Frederick,Colorado,CO,80530,40.0997,-104.9381,frederick
Steamboat Springs,Colorado,CO,80487,40.4850,-106.8317,steamboat-springs
Glenwood Springs,Colorado,CO,81601,39.5505,-107.3248,glenwood-springs
Cortez,Colorado,CO,81321,37.3489,-108.5859,cortez
Delta,Colorado,CO,81416,38.7421,-108.0687,delta
Rifle,Colorado,CO,81650,39.5347,-107.7831,rifle
Trinidad,Colorado,CO,81082,37.1695,-104.5005,trinidad
Alamosa,Colorado,CO,81101,37.4695,-105.8700,alamosa
Craig,Colorado,CO,81625,40.5152,-107.5465,craig
Salida,Colorado,CO,81201,38.5347,-105.9989,salida
Gunnison,Colorado,CO,81230,38.5458,-106.9253,gunnison
Estes Park,Colorado,CO,80517,40.3772,-105.5217,estes-park
Woodland Park,Colorado,CO,80863,38.9939,-105.0569,woodland-park
Pueblo West,Colorado,CO,81007,38.3494,-104.7222,pueblo-west
Berthoud,Colorado,CO,80513,40.3083,-105.0811,berthoud
Superior,Colorado,CO,80027,39.9528,-105.1686,superior
Carbondale,Colorado,CO,81623,39.4022,-107.2114,carbondale
Aspen,Colorado,CO,81611,39.1911,-106.8175,aspen
Vail,Colorado,CO,81657,39.6403,-106.3742,vail
Breckenridge,Colorado,CO,80424,39.4817,-106.0384,breckenridge
Frisco,Colorado,CO,80443,39.5744,-106.0978,frisco
Silverthorne,Colorado,CO,80498,39.6303,-106.0717,silverthorne
Eagle,Colorado,CO,81631,39.6553,-106.8287,eagle
Avon,Colorado,CO,81620,39.6314,-106.5220,avon
Telluride,Colorado,CO,81435,37.9375,-107.8123,telluride
Pagosa Springs,Colorado,CO,81147,37.2695,-107.0098,pagosa-springs
Monument,Colorado,CO,80132,39.0917,-104.8728,monument
Castle Pines,Colorado,CO,80108,39.4680,-104.8958,castle-pines
La Junta,Colorado,CO,81050,37.9850,-103.5438,la-junta
Lamar,Colorado,CO,81052,38.0872,-102.6202,lamar
Wellington,Colorado,CO,80549,40.7033,-105.0086,wellington
Federal Heights,Colorado,CO,80260,39.8650,-104.9550,federal-heights
Cherry Hills Village,Colorado,CO,80113,39.6419,-104.9528,cherry-hills-village
Fruita,Colorado,CO,81521,39.1589,-108.7287,fruita
